obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
18f6305debc3da97,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,143,,index_value,public_domain,,,2021Q1,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
ffb432c44e5bd97c,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,144.4,,index_value,public_domain,,,2021Q2,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
19069423d9b79b70,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,145.7,,index_value,public_domain,,,2021Q3,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
73ddf52dc75bb601,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,147,,index_value,public_domain,,,2021Q4,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
b77269a863b93553,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,148.8,,index_value,public_domain,,,2022Q1,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
1ad91c0220e16b26,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,150.6,,index_value,public_domain,,,2022Q2,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
673ae9a1eedb0143,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,152.2,,index_value,public_domain,,,2022Q3,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
5162a57bcf7b7592,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,153.3,,index_value,public_domain,,,2022Q4,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
76ca728b3bd1fbc9,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,155.2,,index_value,public_domain,,,2023Q1,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
ae6a4f060893ca66,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,156.8,,index_value,public_domain,,,2023Q2,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
