file	count	contexts	flag
faq/muryo-tenken-gaiheki/index.html	3	copyright=1;jsonld_name=2	
faq/naze-blockchain-hitsuyou/index.html	3	copyright=1;jsonld_name=2	
faq/reform-koki-meyasu/index.html	3	copyright=1;jsonld_name=2	
faq/reform-trouble-fusegikata/index.html	3	copyright=1;jsonld_name=2	
faq/second-opinion-reform/index.html	3	copyright=1;jsonld_name=2	
faq/set-waribiki-monitor/index.html	3	copyright=1;jsonld_name=2	
faq/shiroari-yuka-tenken/index.html	3	copyright=1;jsonld_name=2	
faq/shokeihi-tekisei-hiritsu/index.html	3	copyright=1;jsonld_name=2	
faq/souba-yori-takai/index.html	3	copyright=1;jsonld_name=2	
faq/tenken-shoho-kimari-monku/index.html	3	copyright=1;jsonld_name=2	
faq/tenuki-koji-miwake/index.html	3	copyright=1;jsonld_name=2	
faq/tsubo-tanka-damasare-nai/index.html	3	copyright=1;jsonld_name=2	
faq/tsuika-henkou-heraseru-junbi/index.html	3	copyright=1;jsonld_name=2	
faq/yane-muryo-tenken/index.html	3	copyright=1;jsonld_name=2	
faq/yojo-haizai-shobun-datou/index.html	3	copyright=1;jsonld_name=2	
faq/yosei-nebiki-uchiwake/index.html	3	copyright=1;jsonld_name=2	
faq/zairyo-shikyu-yasuku-naru/index.html	3	copyright=1;jsonld_name=2	
faq/zumen-shiyousho-nashi-keiyaku/index.html	3	copyright=1;jsonld_name=2	
faq_en.html	2	footer_neutrality=1;jsonld_alternateName=1	
guide/index.html	3	footer_neutrality=1;jsonld_name=1;other_text=1	
guide/mitsumori-tekisei-check/index.html	1	footer_neutrality=1	
guide/reform-hajimekata/index.html	1	footer_neutrality=1	
guide/reform-junbi/index.html	1	footer_neutrality=1	
hacker/admin/index.html	1	footer_neutrality=1	
hacker/biz/index.html	1	footer_neutrality=1	
hacker/demand/index.html	2	copyright=1;footer_neutrality=1	
hacker/index.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
hacker/me/index.html	1	footer_neutrality=1	
hacker/submit/index.html	2	copyright=1;footer_neutrality=1	
hacker/terms/index.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
hs-reverse-estimate/contract-report.html	3	footer_neutrality=1;jsonld_name=1;other_text=1	
hs-reverse-estimate/index.html	3	footer_neutrality=1;jsonld_name=1;other_text=1	
index_en.html	2	footer_neutrality=1;jsonld_name=1	
inspect.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
jireishuu.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
