endpoint	state	outcome	tool_count	server_name	compensation_fields	record_sha256
https://tooloracle.io/reserve/mcp/	measured	speaks_mcp_and_lists_tools	11	ReserveOracle	payment	8b7558ed1178ac06e815aff160b0e2098a5e0b7f0c6711d1e0dc0a384429c4b2
https://tooloracle.io/shop/mcp/	measured	speaks_mcp_and_lists_tools	11	ShopOracle	payment	959a96e9eb5e90b562c7e08582cfff1ded32676566988ab4b070a506b1040459
https://tooloracle.io/ton/mcp/	measured	speaks_mcp_and_lists_tools	11	TONOracle	payment	15ab9dabfacc254094e4ea720c6ac8362e5a7652841cbe94e5dc612fe09eb11d
https://truevaluerankings.com/mcp	measured	speaks_mcp_and_lists_tools	11	True Value Rankings	payment	99d60c4ea8c04cff2934c211747c86e0999d0e450809609c8ed393886932db80
https://agents.ai-rook.com/mcp	measured	speaks_mcp_and_lists_tools	10	ai-rook	capabilities.payment	f06393c4fd49b9f00a92f9aa6a678d4da8c66f4c63f01029a4682b183edf3219
https://asiaref.dev/mcp	measured	speaks_mcp_and_lists_tools	10	asiaref	payment	5120047b442450973c6ac569455c171995779d3b90285a663b8cfffb26147de9
https://ausref.dev/mcp	measured	speaks_mcp_and_lists_tools	10	ausref	payment	4755db9cf44e3b5422d9c2b413629a51aa1d3f5bb4da6c47bccf3cd0f4a6fcde
https://ckg-agentforce.onrender.com/mcp	measured	speaks_mcp_and_lists_tools	10	ckg-agentforce	payments	1b31c30fe2161197431b1fd0887c9fea89fa82a0fa9db52c55590a0e0d780199
https://euroref.dev/mcp	measured	speaks_mcp_and_lists_tools	10	euroref	payment	71e69169ab8a1ad74db9f5c5424fde84dc1e72ed27a1704e0375822c37e45185
https://fresh-feeds.foomworks.workers.dev/mcp	measured	speaks_mcp_and_lists_tools	10	fresh-feeds	payment	8e41457417e24f005de9b4ab07949f7aa15b9e33415184ca892d61528a2d8117
https://hpsilab.com/mcp	measured	speaks_mcp_and_lists_tools	10	hpsilab-quant-finance	pricing	62426828a79be52b931cc3f464d299e7fce34e61e209a219d3e1f2dccbcac5ff
https://kairossignal.com/mcp	measured	speaks_mcp_and_lists_tools	10	kairos-signal-mcp	pricing	d49bfc4edce00f77f14d4f3e037fbd772c0c15416552cf552c92282723db4611
https://kairossignal.com/mcp/	measured	speaks_mcp_and_lists_tools	10	kairos-signal-mcp	pricing	979ba8aa32754c733b274245d98be5230c2b885501374e294aa0702d2b58ee55
https://latamref.dev/mcp	measured	speaks_mcp_and_lists_tools	10	latamref	payment	6ccc782516bed4601f180010bd78fcbe35c7bbfca392563d2c33c83191242225
https://mearef.dev/mcp	measured	speaks_mcp_and_lists_tools	10	mearef	payment	5cf3556210fef705689a1de27e97d670ece3b304084541e8b163680f77c3ce97
https://permit-api-production-7375.up.railway.app/mcp	measured	speaks_mcp_and_lists_tools	10	permit-intelligence	payment	d706c306a38d975dd846dca26d4f6e932667a6ae645276d4a2b8b44270528052
https://permitverdict.com/mcp	measured	speaks_mcp_and_lists_tools	10	permit-intelligence	payment	59891d8e40f99101875db966b5dfd975056835e9c09ba74962fca372ea9236a4
https://tooloracle.io/access/mcp/	measured	speaks_mcp_and_lists_tools	10	AccessOracle	payment	6ce49745b6aae82c62630f98f44952a83e381c88883592000f3ed89eada21741
https://tooloracle.io/change/mcp/	measured	speaks_mcp_and_lists_tools	10	ChangeOracle	payment	cfb33aa9a0089ebb33564b4d8b29bb996d18a2758e05a9bb85554d0f01b70518
https://tooloracle.io/dependency/mcp/	measured	speaks_mcp_and_lists_tools	10	DependencyOracle	payment	3825a16cdaa46b5f462bc3384a2828fcb7dfa28c25ebac865a73e927038a0629
https://tooloracle.io/invoice/mcp/	measured	speaks_mcp_and_lists_tools	10	InvoiceOracle	payment	cf0e929159120c228eeca87b0c20fb9a8ab0abb857c56e6167500823c3aa178b
https://tooloracle.io/register/mcp/	measured	speaks_mcp_and_lists_tools	10	RegisterOracle	payment	d0ba4dae55c46f6bec3efd64e5f10aae61156c9541d9201e9b875d953fadb993
https://tooloracle.io/resilience/mcp/	measured	speaks_mcp_and_lists_tools	10	ResilienceOracle	payment	d86caa0dda373874ac7b02772cde311b6b5ff7d1299145a137cfd16c44b291e9
https://tooloracle.io/trust/mcp/	measured	speaks_mcp_and_lists_tools	10	FeedOracle Trust Layer	payment	6f9780248ca70ecd2133750dbe7b7ae84b9c3691ddf464af0e6f4eb933c6d38c
https://usaref.dev/mcp	measured	speaks_mcp_and_lists_tools	10	usaref	payment	6c8c9d597e73bd403069af4d2c99ff303559a5b1c4b6b8f5b6089686a68d4872
https://x402-solana-cva8.onrender.com/mcp/	measured	speaks_mcp_and_lists_tools	10	x402-endpoints	payments	6d01e1bcb1a49902c752781f13fadbb1cc9d543fb8b617b438e15d536078c556
https://ckg-nvidia-ai.onrender.com/mcp	measured	speaks_mcp_and_lists_tools	9	ckg-nvidia-ai	payments	5f43dc412d23fa24b64c0e28904783e550a74e87604e368690137ad261f39801
https://content-intelligence-mcp.wajih-hyder55.workers.dev	measured	speaks_mcp_and_lists_tools	9	content-intelligence-api	payment	8a7d56e4ed7bed2b3944dd927a3b8559a8053a3c8a956084511314368a656d25
https://eltociear-tokenguard.hf.space/mcp	measured	speaks_mcp_and_lists_tools	9	tokenguard	payment	418177dce2865759721bfab468842ef0449ffc40f3c48a844c4908c9feb06db8
https://governance.taskhawktech.com/mcp/	measured	speaks_mcp_and_lists_tools	9	kevros-governance-api	payment,pricing	d8c511345f4eaafe6a070dac582f2ba897706e930914f12321f905e5cb761868
https://quiver-production-c3a8.up.railway.app/mcp	measured	speaks_mcp_and_lists_tools	9	quiver-risk-brain	payment	70e8326abc7143d3ad469622d41d7ae6ccf3dc136218652a95eb53adf347ae1b
https://ruscrape.com/mcp	measured	speaks_mcp_and_lists_tools	9	russia-access	payment	bd72f7514d71a0b777c6abae201cf0da75d2b6dd9d2cefaa93f8e9bbf4e5dcec
