obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
01ffbfafefcb1a8e,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 電気設備工事 (1)電力設備,番号(1) | 構造・階数 ＲＣ-１ | 概略延べ面積 200㎡(～300㎡),円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,44390,JPY,cost_per_m2,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
60ffc517c2cd0561,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 電気設備工事 (1)電力設備,番号(2) | 構造・階数 ＲＣ-２ | 概略延べ面積 400㎡(301㎡～500㎡),円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,47010,JPY,cost_per_m2,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
5688f297715804b4,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 電気設備工事 (1)電力設備,"番号(3) | 構造・階数 ＲＣ-２ | 概略延べ面積 750㎡(501㎡～1,000㎡)",円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,42530,JPY,cost_per_m2,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
76aea248cc8baaae,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 電気設備工事 (1)電力設備,"番号(4) | 構造・階数 ＲＣ-３ | 概略延べ面積 1,500㎡(1,001㎡～2,250㎡)",円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,55740,JPY,cost_per_m2,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
40f5eb66b2774eb8,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 電気設備工事 (2)受変電自家発電設備,番号(1) | 構造・階数 ＲＣ-１ | 概略延べ面積 200㎡(～300㎡),円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,,JPY,cost_per_m2,not_set,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,原本「－」: 通常その建物に不要と考えられるもの(必要なら第３の算出基準などで別途計上)。官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
39ca254e2fe52f6f,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 電気設備工事 (2)受変電自家発電設備,番号(2) | 構造・階数 ＲＣ-２ | 概略延べ面積 400㎡(301㎡～500㎡),円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,,JPY,cost_per_m2,not_set,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,原本「－」: 通常その建物に不要と考えられるもの(必要なら第３の算出基準などで別途計上)。官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
f88e9224a910621f,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 電気設備工事 (2)受変電自家発電設備,"番号(3) | 構造・階数 ＲＣ-２ | 概略延べ面積 750㎡(501㎡～1,000㎡)",円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,,JPY,cost_per_m2,not_set,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,原本「－」: 通常その建物に不要と考えられるもの(必要なら第３の算出基準などで別途計上)。官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
c1e35603ed25d016,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 電気設備工事 (2)受変電自家発電設備,"番号(4) | 構造・階数 ＲＣ-３ | 概略延べ面積 1,500㎡(1,001㎡～2,250㎡)",円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,,JPY,cost_per_m2,not_set,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,原本「○」: 通常その建物に必要と考えられるものであり、「第３ 標準予算単価算出基準」を用いるなどし、実情に応じて別途計上する(表に単価なし)。官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
e4db25fdb58d47c5,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 電気設備工事 (3)通信設備,番号(1) | 構造・階数 ＲＣ-１ | 概略延べ面積 200㎡(～300㎡),円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,19050,JPY,cost_per_m2,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
ba6e113631d38dff,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 電気設備工事 (3)通信設備,番号(2) | 構造・階数 ＲＣ-２ | 概略延べ面積 400㎡(301㎡～500㎡),円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,11220,JPY,cost_per_m2,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
